dataset_id,AR,MR,SW,RegressorOnP,RegressorOnR,Harris(lam=0.0),Harris(lam=0.25),Harris(lam=0.5),Harris(lam=0.75),Harris(lam=1.0),Harris,RandomBaseline
hateval_es_TR,0.010075869437127839,0.007898527402142641,0.010075869437127839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01733448342459548
hatewic_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01112648713270864
hatexplain_3way,0.004162350292210193,0.0027651079258210086,0.004162350292210193,0.004162350292210193,0.004162350292210193,0.004162350292210193,0.004162350292210193,0.004162350292210193,0.004162350292210193,0.004162350292210193,0.004162350292210193,0.011446241941955131
hatexplain_hate_vs_rest,0.0010993661893942352,0.0007618473149612615,0.0007618473149612615,0.0010993661893942352,0.0010993661893942352,0.0010993661893942352,0.0010993661893942352,0.0010993661893942352,0.0010993661893942352,0.0010993661893942352,0.0010993661893942352,0.0
ihc_stg1_3way,0.0,0.0,0.0,0.0034619746385294303,0.0,0.0016611878457079231,0.0,0.0,0.0,0.0,0.0,0.02603420063229061
ihc_stg1_binary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019833349062898798,0.0,0.01252443597751901
ihc_stg1_explicit_vs_not,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067001266778905725
ihc_stg1_implicit_vs_not,0.00132836829936962,0.0021820509522145317,0.0021820509522145317,0.00132836829936962,0.00132836829936962,0.0021820509522145317,0.00132836829936962,0.00132836829936962,0.00132836829936962,0.00132836829936962,0.00132836829936962,0.0
ihc_stg2_6way,0.0012350658791885683,0.0024701317583771367,0.0024701317583771367,0.0012350658791885683,0.0012350658791885683,0.0012350658791885683,0.0012350658791885683,0.0012350658791885683,0.0012350658791885683,0.0012350658791885683,0.0012350658791885683,0.01775220225523507
ihc_stg2_incitement_vs_rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006414760482125725
ihc_stg2_inferiority_vs_rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027241164912171843
ihc_stg2_irony_vs_rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029351914656157153
ihc_stg2_stereotypical_vs_rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021454828558035554
ihc_stg2_threatening_vs_rest,0.0001784310448250892,0.0001784310448250892,0.0001784310448250892,0.0001784310448250892,0.0001338232836188169,0.0001784310448250892,0.0001784310448250892,0.0001784310448250892,0.0001784310448250892,0.0001784310448250892,0.0001784310448250892,0.019840081665503072
ihc_stg2_white_grievance_vs_rest,0.0,0.0,0.0,0.00021012386846372966,0.00021012386846372966,0.0,0.0,0.0,0.0,0.0,0.0,0.000630371605391189
ihc_target_black_vs_not,0.0010853527277250308,0.0021707054554500615,0.0021707054554500615,0.0010853527277250308,0.0010853527277250308,0.0010853527277250308,0.0010853527277250308,0.0010853527277250308,0.0010853527277250308,0.0010853527277250308,0.0010853527277250308,0.01129937831486778
ihc_target_immigrant_vs_not,0.0007166535798507567,0.0014333071597015135,0.0014333071597015135,0.0007166535798507567,0.0,0.0007166535798507567,0.0007166535798507567,0.0007166535798507567,0.0007166535798507567,0.0007166535798507567,0.0007166535798507567,0.04737590096592714
ihc_target_jewish_vs_not,0.0,0.0,0.0,0.0005427986991131007,0.0005427986991131007,0.0005427986991131007,0.0005427986991131007,0.0005427986991131007,0.0005427986991131007,0.0005427986991131007,0.0005427986991131007,0.04297687006170557
ihc_target_lgbt_vs_not,0.0014544067044067188,0.0014544067044067188,0.0014544067044067188,0.0004848022348022396,0.0009696044696044792,0.0009696044696044792,0.0009696044696044792,0.0009696044696044792,0.0009696044696044792,0.0009696044696044792,0.0009696044696044792,0.038086655345950036
ihc_target_muslim_vs_not,0.0006759384058256379,0.0013518768116512758,0.0013518768116512758,0.0006759384058256379,0.0,0.0006759384058256379,0.0006759384058256379,0.0006759384058256379,0.0006759384058256379,0.0006759384058256379,0.0006759384058256379,0.02036445217181824
mlma_ar_hate_vs_normal,0.008588379437273164,0.008500645383897276,0.008500645383897276,8.773405337588746e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01341735120502865
mlma_en_hate_vs_normal,0.0,0.0,0.0,0.0,0.005342883941949627,0.0,0.0,0.0005580859824975915,0.005342883941949627,0.005342883941949627,0.0005580859824975915,0.03201568680904393
mlma_fr_hate_vs_normal,0.01133436514423226,0.00572595640682202,0.01133436514423226,0.011216817474820484,0.0,0.005608408737410242,0.005608408737410242,0.0,0.0,0.0,0.0,0.0028283728367749284
sbic_hf_group_targeted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004225917317324046
sbic_hf_offensive_gab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0478592342388748
sbic_hf_offensive_reddit,0.00034787464550160017,0.00025439586690944037,0.00025439586690944037,0.00044135342409376,0.00044135342409376,0.00034787464550160017,0.00034787464550160017,0.00034787464550160017,0.00034787464550160017,0.00044135342409376,0.00034787464550160017,0.0106237764288453
sbic_hf_offensive_stormfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04283962281816136
sbic_hf_offensive_twitter,0.0022743333060718405,0.0011608576471593302,0.0011608576471593302,0.0022743333060718405,0.0022743333060718405,0.0022743333060718405,0.0022743333060718405,0.0,0.0022743333060718405,0.0022743333060718405,0.0,0.018096966895369337
sbic_hf_sex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030753068687471585
sbic_offensive_binary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285742827616642
toxic_conversations_binary,0.0,0.0,0.0,0.001041615877829627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062496952669777615
tweeteval_hate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011060842913146362
tweeteval_offensive,0.0,0.0,0.0,0.0,0.005963234161423659,0.004100804385864664,0.004100804385864664,0.005963234161423659,0.005963234161423659,0.005963234161423659,0.005963234161423659,0.007006065698196995
ucb_hate_binary,0.0015279622452595732,0.0007639811226297866,0.0015279622452595732,0.00229194336788936,0.00229194336788936,0.00229194336788936,0.00229194336788936,0.00229194336788936,0.00229194336788936,0.00229194336788936,0.00229194336788936,0.009915938246762346
ucb_target_identity_5way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011701225666748804
